"Read Details","Läs Detaljer",module,Magento_AdminNotification
"Mark as Read","Markera som läst",module,Magento_AdminNotification
"Are you sure?","Är du säker?",module,Magento_AdminNotification
"Remove","Avlägsna",module,Magento_AdminNotification
"Messages Inbox","meddelanden Inbox",module,Magento_AdminNotification
"You have %1 new system messages","You have %1 new system messages",module,Magento_AdminNotification
"You have %1 new system message","You have %1 new system message",module,Magento_AdminNotification
"Incoming Message","inkommande meddelande",module,Magento_AdminNotification
"close","stänga",module,Magento_AdminNotification
"Notifications","aviseringar",module,Magento_AdminNotification
"The message has been marked as Read.","Meddelandet har markerats som läst.",module,Magento_AdminNotification
"We couldn't mark the notification as Read because of an error.","Vi kunde inte markera anmälan som läst på grund av ett fel.",module,Magento_AdminNotification
"Please select messages.","Välj meddelanden.",module,Magento_AdminNotification
"A total of %1 record(s) have been marked as Read.","A total of %1 record(s) have been marked as Read.",module,Magento_AdminNotification
"Total of %1 record(s) have been removed.","Total of %1 record(s) have been removed.",module,Magento_AdminNotification
"We couldn't remove the messages because of an error.","Vi kunde inte ta bort meddelanden på grund av ett fel.",module,Magento_AdminNotification
"The message has been removed.","Meddelandet har tagits bort.",module,Magento_AdminNotification
"1 Hour","1 timme",module,Magento_AdminNotification
"2 Hours","2 timmar",module,Magento_AdminNotification
"6 Hours","6 timmar",module,Magento_AdminNotification
"12 Hours","12 timmar",module,Magento_AdminNotification
"24 Hours","24 timmar",module,Magento_AdminNotification
"critical","kritisk",module,Magento_AdminNotification
"major","större",module,Magento_AdminNotification
"minor","mindre",module,Magento_AdminNotification
"notice","lägga märke till",module,Magento_AdminNotification
"Wrong message type","Fel budskap typ",module,Magento_AdminNotification
"Wrong notification ID specified.","Fel anmälan ID anges.",module,Magento_AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.",module,Magento_AdminNotification
"One or more of the Cache Types are invalidated: %1. ","One or more of the Cache Types are invalidated: %1. ",module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Please go to <a href=""%1"">Cache Management</a> and refresh cache types.",module,Magento_AdminNotification
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Det gick inte att synkronisera en eller flera mediefiler. Se loggfilen för mer information.",module,Magento_AdminNotification
"Synchronization of media storages has been completed.","Synkronisering av medielager har slutförts.",module,Magento_AdminNotification
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Din webbserver är felaktigt inställd och gör att obehörig åtkomst till känsliga filer. Kontakta webbhotellet.",module,Magento_AdminNotification
"System Messages:","Systemmeddelanden:",module,Magento_AdminNotification
"Critical System Messages","Kritiska Systemmeddelanden",module,Magento_AdminNotification
"Major System Messages","Större Systemmeddelanden",module,Magento_AdminNotification
"System messages","systemmeddelanden",module,Magento_AdminNotification
"Close","Stänga",module,Magento_AdminNotification
"See All (","Se allt (",module,Magento_AdminNotification
" unread)","oläst)",module,Magento_AdminNotification
"Please correct the data sent.","Korrigera data som skickas.",module,Magento_AdvancedPricingImportExport
"Entity type model '%1' is not found","Entity type model '%1' is not found",module,Magento_AdvancedPricingImportExport
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType",module,Magento_AdvancedPricingImportExport
"There are no product types available for export","Det finns inga produkttyper tillgängliga för export",module,Magento_AdvancedPricingImportExport
"We can't find the role for the user you wanted.","Vi kan inte hitta rollen för användaren du ville.",module,Magento_Authorization
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Något gick fel när sammanställa en lista över tillåtna medel. Du kan läsa mer i undantagen log.",module,Magento_Authorization
"You created the order.","Du skapade ordern.",module,Magento_Authorizenet
"Order saving error: %1","Order saving error: %1",module,Magento_Authorizenet
"Please choose a payment method.","Välj en betalningsmetod.",module,Magento_Authorizenet
"We can't process your order right now. Please try again later.","Vi kan inte behandla din beställning just nu. Försök igen senare.",module,Magento_Authorizenet
"An error occurred on the server. Please try to place the order again.","Ett fel uppstod på servern. Försök att placera ordern igen.",module,Magento_Authorizenet
"Credit Card: xxxx-%1","Credit Card: xxxx-%1",module,Magento_Authorizenet
"amount %1","amount %1",module,Magento_Authorizenet
"failed.","misslyckades.",module,Magento_Authorizenet
"successful.","framgångsrik.",module,Magento_Authorizenet
"Authorize.Net Transaction ID %1.","Authorize.Net Transaction ID %1.",module,Magento_Authorizenet
"authorize","godkänna",module,Magento_Authorizenet
"authorize and capture","godkänna och fånga",module,Magento_Authorizenet
"capture","fånga",module,Magento_Authorizenet
"refund","återbetalning",module,Magento_Authorizenet
"void","ogiltig",module,Magento_Authorizenet
"Gateway error: %1","Gateway error: %1",module,Magento_Authorizenet
"Something went wrong in the payment gateway.","Något gick fel i betalning gateway.",module,Magento_Authorizenet
"Invalid amount for capture.","Ogiltig mängd för att fånga.",module,Magento_Authorizenet
"Payment capturing error.","Betalning fånga fel.",module,Magento_Authorizenet
"Invalid transaction ID.","Ogiltigt transaktions-ID.",module,Magento_Authorizenet
"Payment voiding error.","Betalning tömnings fel.",module,Magento_Authorizenet
"Invalid amount for refund.","Ogiltig belopp för återbetalning.",module,Magento_Authorizenet
"Payment refunding error.","Betalning återbetalning fel.",module,Magento_Authorizenet
"The transaction was declined because the response hash validation failed.","Transaktionen avvisades eftersom svar hash validering misslyckades.",module,Magento_Authorizenet
"This payment didn't work out because we can't find this order.","Denna betalning fungerade inte eftersom vi inte kan hitta denna ordning.",module,Magento_Authorizenet
"There was a payment authorization error.","Det fanns en betalning tillstånd fel.",module,Magento_Authorizenet
"Please enter a transaction ID to authorize this payment.","Ange ett transaktions-ID för att godkänna denna betalning.",module,Magento_Authorizenet
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Något gick fel: det belopp som betalats inte stämmer orderbeloppet. Rätta detta och försök igen.",module,Magento_Authorizenet
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Transaction %1 has been approved. Amount %2. Transaction status is ""%3""",module,Magento_Authorizenet
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.",module,Magento_Authorizenet
"Authorize Only","godkänna endast",module,Magento_Authorizenet
"Authorize and Capture","Bemyndiga och Capture",module,Magento_Authorizenet
"Unable to get transaction details. Try again later.","Det går inte att få transaktionsinformation. Försök igen senare.",module,Magento_Authorizenet
"Credit Card Type","typ av kreditkort",module,Magento_Authorizenet
"Credit Card Number","kreditkortsnummer",module,Magento_Authorizenet
"Expiration Date","Utgångsdatum",module,Magento_Authorizenet
"Card Verification Number","kort verifierings nummer",module,Magento_Authorizenet
"Fraud Detection ","Förfalskningsskydd",module,Magento_Authorizenet
